종목코드,종목명,시장구분,현재가,등락률,거래량,시가총액
002070,비비안,KOSPI,995.0,-2.07,713963.0,30968158115.0
002100,경농,KOSPI,9390.0,-0.21,22580.0,183316979250.0
002140,고려산업,KOSPI,2750.0,-0.72,51944.0,68583418750.0
002150,도화엔지니어링,KOSPI,6600.0,-0.6,27615.0,222552000000.0
002170,삼양통상,KOSPI,52600.0,4.78,8472.0,157800000000.0
002200,한국수출포장,KOSPI,2945.0,0.86,167623.0,117800000000.0
002210,동성제약,KOSPI,2780.0,0.0,0.0,74002229460.0
002220,한일철강,KOSPI,2005.0,-0.25,4579.0,53528407300.0
002240,고려제강,KOSPI,17510.0,-0.17,15581.0,472770000000.0
002310,아세아제지,KOSPI,7220.0,0.14,106330.0,300586722200.0
002320,한진,KOSPI,20400.0,-1.21,25663.0,304931611200.0
002350,넥센타이어,KOSPI,6710.0,4.19,611705.0,655351454670.0
002355,넥센타이어1우B,KOSPI,3150.0,1.78,56774.0,20475000000.0
002360,SH에너지화학,KOSPI,444.0,0.45,213500.0,49343376120.0
002380,KCC,KOSPI,307500.0,-1.44,50314.0,2732589832500.0
002390,한독,KOSPI,11550.0,0.35,11070.0,158968806150.0
002410,범양건영,KOSPI,1935.0,0.0,0.0,53173451700.0
002420,세기상사,KOSPI,5020.0,-0.79,1889.0,29969138960.0
002450,삼익악기,KOSPI,1259.0,-0.08,234329.0,113978421985.0
002460,HS화성,KOSPI,10340.0,1.08,8574.0,104951000000.0
002600,조흥,KOSPI,155700.0,0.32,38.0,93420000000.0
002620,제일파마홀딩스,KOSPI,8250.0,-0.24,23546.0,131780178750.0
002630,오리엔트바이오,KOSPI,1179.0,-8.46,6071734.0,139809362895.0
002690,동일제강,KOSPI,1548.0,0.06,20913.0,31424957280.0
002700,신일전자,KOSPI,1507.0,-0.79,253512.0,107068614147.0
002710,TCC스틸,KOSPI,17340.0,-1.08,536656.0,454545505980.0
002720,국제약품,KOSPI,4900.0,-0.2,223410.0,103683176800.0
002760,보락,KOSPI,1075.0,0.19,130824.0,64392500000.0
002780,진흥기업,KOSPI,760.0,-1.17,286871.0,110558526200.0
002785,진흥기업우B,KOSPI,3530.0,1.29,1206.0,3025979540.0
002787,진흥기업2우B,KOSPI,7820.0,3.17,6266.0,2305398560.0
002790,아모레퍼시픽홀딩스,KOSPI,26200.0,1.16,453083.0,2081804316000.0
002795,아모레퍼시픽홀딩스우,KOSPI,11130.0,-0.18,20742.0,71719160100.0
00279K,아모레퍼시픽홀딩스3우C,KOSPI,20200.0,0.75,19109.0,143262440000.0
002810,삼영무역,KOSPI,14990.0,-0.4,12273.0,276819550520.0
002820,SUN&L,KOSPI,2910.0,0.0,7325.0,36689247990.0
002840,미원상사,KOSPI,182400.0,-0.16,2102.0,866400000000.0
002870,신풍,KOSPI,1063.0,4.63,263657.0,37161098100.0
002880,대유에이텍,KOSPI,997.0,1.63,29004.0,46603787940.0
002900,TYM,KOSPI,5110.0,-4.31,306386.0,230210385160.0
002920,유성기업,KOSPI,1969.0,0.41,43269.0,51090627500.0
002960,한국쉘석유,KOSPI,402500.0,0.25,1615.0,523250000000.0
002990,금호건설,KOSPI,3090.0,0.16,311745.0,114319988400.0
002995,금호건설우,KOSPI,11700.0,-0.85,1660.0,3419512200.0
003000,부광약품,KOSPI,4005.0,1.78,167697.0,274160957355.0
003010,혜인,KOSPI,5050.0,-0.39,28727.0,64199372350.0
003030,세아제강지주,KOSPI,242000.0,1.47,12425.0,1002280994000.0
003060,에이프로젠바이오로직스,KOSPI,658.0,1.86,272216.0,130552362010.0
003070,코오롱글로벌,KOSPI,9050.0,0.11,23948.0,171341052650.0
003075,코오롱글로벌우,KOSPI,15360.0,0.39,399.0,11377720320.0
003080,SB성보,KOSPI,2625.0,0.57,22140.0,52552500000.0
003090,대웅,KOSPI,25350.0,1.2,893042.0,1473899193000.0
